# Manually maintained mapping of IATA airport codes and timezones such that:
#
# 1) Every timezone is associated with at least one airport code.
# 2) An airport code is associated with only a single timezone.
# 3) Some timezones may be associated with multiple airports.
#
# The airport codes were assigned using the following guidelines:
#
# 1) Use the well-known 3-letter IATA code if available.
# 2) Use the 4-letter ICAO code if IATA code is not assigned.
# (e.g. BGDH at Danmarkshavn Airport, Greenland).
# 3) Use the sentinel "0000" if no airport exists near the town/region. This
# makes it impossible to select one of these timezones using an airport code.
# Fortunately, most of these are small villages or towns which chose to use a
# different DST rule than the rest of the larger region for various regions.

# airport timezone
GCM America/Cayman # Owen Roberts International Airport, Cayman Islands
ORD America/Chicago # O'Hare International Airport, USA
CUU America/Chihuahua # General Roberto Fierro Villalobos International Airport, Mexico
CJS America/Ciudad_Juarez # Abraham Gonzalez International Airport, Mexico
YZS America/Coral_Harbour # Coral Harbour Airport, Canada
SJO America/Costa_Rica # Juan Santamaria International Airport, Costa Rica
CFQ America/Creston # Creston Aerodrome, Canada
CGB America/Cuiaba # Marechal Rondon International Airport, Brazil
CUR America/Curacao # Curacao International Airport, Curacao
BGDH America/Danmarkshavn # Danmarkshavn Airport, Greenland
YDA America/Dawson # Dawson City Airport, Canada
YDQ America/Dawson_Creek # Dawson Creek Airport, Canada
DEN America/Denver # Denver International Airport, USA
DTW America/Detroit # Detroit Metropolitan Wayne County Airport, USA
DOM America/Dominica # Douglas-Charles Airport, Dominica
YEG America/Edmonton # Edmonton International Airport, Canada
ERN America/Eirunepe # Amaury Feitosa Tomaz Airport, Brazil
SAL America/El_Salvador # El Salvador International Airport, El Salvador
ESE America/Ensenada # Ensenada Airport, Mexico
YYE America/Fort_Nelson # Northern Rockies Regional Airport, Canada
FWA America/Fort_Wayne # Fort Wayne International Airport, USA
FOR America/Fortaleza # Fortaleza-Pinto Martins International Airport, Brazil
YQY America/Glace_Bay # JA Douglas McCurdy Sydney Airport, Canada
YYR America/Goose_Bay # Canadian Forces Base Goose Bay, Canada
GDT America/Grand_Turk # JAGS McCartney International Airport, Turks & Caicos Islands
GND America/Grenada # Maurice Bishop International Airport, Grenada
PTP America/Guadeloupe # Pointe-a-Pitre International Airport, Guadeloupe
GUA America/Guatemala # La Aurora International Airport, Guatemala
GYE America/Guayaquil # Jose Joaquin de Olmedo International Airport, Ecuador
GEO America/Guyana # Cheddi Jagan International Airport, Guyana
YHZ America/Halifax # Halifax Stanfield International Airport, Canada
HAV America/Havana # Jose Marti International Airport, Cuba
HMO America/Hermosillo # Hermosillo International Airport, Mexico
IND America/Indiana/Indianapolis # Indianapolis International Airport, USA
KOXI America/Indiana/Knox # Starke County Airport, USA
0000 America/Indiana/Marengo # USA
0000 America/Indiana/Petersburg # USA
0000 America/Indiana/Tell_City # USA
0000 America/Indiana/Vevay # USA
0000 America/Indiana/Vincennes # USA
0000 America/Indiana/Winamac # USA
YEV America/Inuvik # Inuvik (Mike Zubko) Airport, Canada
YFB America/Iqaluit # Iqaluit Airport, Canada
KIN America/Jamaica # Norman Manley International Airport, Jamaica
JNU America/Juneau # Juneau International Airport, USA
SDF America/Kentucky/Louisville # Louisville Muhammad Ali International Airport, USA
KEKQ America/Kentucky/Monticello # Wayne County Airport, USA
BON America/Kralendijk # Flamingo International Airport, Caribbean Netherlands (Bonaire)
LPB America/La_Paz # El Alto International Airport, Bolivia
LIM America/Lima # Jorge Chavez International Airport, Peru
LAX America/Los_Angeles # Los Angeles International Airport, USA
SXM America/Lower_Princes # Princess Juliana International Airport, Sint Maarten
MCZ America/Maceio # Maceio/Zumbi dos Palmares International Airport, Brazil
MGA America/Managua # Augusto C. Sandino International Airport, Nicaragua
MAO America/Manaus # Manaus International Airport - Eduardo Gomes, Brazil
SFG America/Marigot # Grand Case Esperance Airport, Saint Martin
FDF America/Martinique # Martinique Aime Cesaire International Airport, Martinique
MAM America/Matamoros # General Servando Canales International Airport, Mexico
MZT America/Mazatlan # General Rafael Buelna International Airport, Mexico
